01.04.2018 13:58:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 14719
01.04.2018 14:42:05 [INFO] Method: get_order_book , Requests count: 528 , Average request time (ms): 748
01.04.2018 14:42:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 2987
01.04.2018 14:43:35 [INFO] Method: get_order_book , Requests count: 525 , Average request time (ms): 752
01.04.2018 14:43:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 914
01.04.2018 14:45:05 [INFO] Method: get_order_book , Requests count: 393 , Average request time (ms): 2469
01.04.2018 14:45:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 958
01.04.2018 14:46:35 [INFO] Method: get_order_book , Requests count: 81 , Average request time (ms): 12710
01.04.2018 14:46:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 14935
01.04.2018 14:48:05 [INFO] Method: get_order_book , Requests count: 142 , Average request time (ms): 16371
01.04.2018 14:48:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 21483
01.04.2018 14:49:35 [INFO] Method: get_order_book , Requests count: 4 , Average request time (ms): 48804
01.04.2018 14:49:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 21127
01.04.2018 14:51:05 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 61479
01.04.2018 14:51:05 [INFO] Method: get_order_book , Requests count: 416 , Average request time (ms): 990
01.04.2018 14:51:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1137
01.04.2018 14:52:35 [INFO] Method: get_order_book , Requests count: 510 , Average request time (ms): 990
01.04.2018 14:52:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1280
01.04.2018 14:54:05 [INFO] Method: get_order_book , Requests count: 524 , Average request time (ms): 993
01.04.2018 14:54:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1167
01.04.2018 14:55:35 [INFO] Method: get_order_book , Requests count: 508 , Average request time (ms): 985
01.04.2018 14:55:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1127
01.04.2018 14:55:35 [INFO] Method: currency_balance , Requests count: 1 , Average request time (ms): 980
01.04.2018 14:55:35 [INFO] Method: order_buy_market , Requests count: 1 , Average request time (ms): 1002
01.04.2018 14:57:05 [INFO] Method: get_order_book , Requests count: 513 , Average request time (ms): 982
01.04.2018 14:57:05 [INFO] Method: order_buy_market , Requests count: 6 , Average request time (ms): 1003
01.04.2018 14:57:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1156
01.04.2018 14:58:35 [INFO] Method: get_order_book , Requests count: 522 , Average request time (ms): 980
01.04.2018 14:58:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1173
01.04.2018 15:00:05 [INFO] Method: get_order_book , Requests count: 516 , Average request time (ms): 987
01.04.2018 15:00:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1153
01.04.2018 15:01:35 [INFO] Method: get_order_book , Requests count: 501 , Average request time (ms): 970
01.04.2018 15:01:35 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1119
01.04.2018 15:03:05 [INFO] Method: get_order_book , Requests count: 526 , Average request time (ms): 767
01.04.2018 15:03:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 936
01.04.2018 15:04:35 [INFO] Method: get_order_book , Requests count: 511 , Average request time (ms): 763
01.04.2018 15:04:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 938
01.04.2018 15:06:05 [INFO] Method: get_order_book , Requests count: 511 , Average request time (ms): 758
01.04.2018 15:06:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 920
01.04.2018 15:07:35 [INFO] Method: get_order_book , Requests count: 485 , Average request time (ms): 819
01.04.2018 15:07:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 6030
01.04.2018 15:09:05 [INFO] Method: get_order_book , Requests count: 502 , Average request time (ms): 989
01.04.2018 15:09:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1119
01.04.2018 15:10:35 [INFO] Method: get_order_book , Requests count: 507 , Average request time (ms): 983
01.04.2018 15:10:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1308
01.04.2018 15:12:05 [INFO] Method: get_order_book , Requests count: 494 , Average request time (ms): 983
01.04.2018 15:12:05 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1136
01.04.2018 15:13:35 [INFO] Method: get_order_book , Requests count: 496 , Average request time (ms): 984
01.04.2018 15:13:35 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1169
01.04.2018 15:15:05 [INFO] Method: get_order_book , Requests count: 506 , Average request time (ms): 980
01.04.2018 15:15:05 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1273
