01.04.2018 12:37:41 [INFO] Method: get_deposit_transactions , Requests count: 1 , Average request time (ms): 7227
01.04.2018 13:12:11 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 15782
01.04.2018 13:13:41 [INFO] Method: get_order_book , Requests count: 80 , Average request time (ms): 17674
01.04.2018 13:13:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 15821
01.04.2018 13:15:11 [INFO] Method: get_order_book , Requests count: 68 , Average request time (ms): 17038
01.04.2018 13:15:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 27134
01.04.2018 13:15:40 [ERROR] Error method:get_order_book прокси:http://hanik:19931802@185.22.153.27:3129 request_time:124543 Error info:{"code":"ECONNRESET","name":"Error","message":"socket hang up","stack":"Error: socket hang up\n    at TLSSocket.onHangUp (_tls_wrap.js:1120:19)\n    at Object.onceWrapper (events.js:293:19)\n    at emitNone (events.js:91:20)\n    at TLSSocket.emit (events.js:188:7)\n    at endReadableNT (_stream_readable.js:975:12)\n    at _combinedTickCallback (internal/process/next_tick.js:80:11)\n    at process._tickCallback (internal/process/next_tick.js:104:9)"}

01.04.2018 13:16:41 [INFO] Method: get_order_book , Requests count: 340 , Average request time (ms): 1078
01.04.2018 13:16:41 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1006
01.04.2018 13:16:41 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 1298
01.04.2018 13:18:11 [INFO] Method: get_order_book , Requests count: 520 , Average request time (ms): 746
01.04.2018 13:18:11 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 922
01.04.2018 13:19:41 [INFO] Method: get_order_book , Requests count: 519 , Average request time (ms): 752
01.04.2018 13:19:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 930
01.04.2018 13:21:11 [INFO] Method: get_order_book , Requests count: 516 , Average request time (ms): 753
01.04.2018 13:21:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 927
01.04.2018 13:22:41 [INFO] Method: get_order_book , Requests count: 507 , Average request time (ms): 899
01.04.2018 13:22:41 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1012
01.04.2018 13:24:11 [INFO] Method: get_order_book , Requests count: 519 , Average request time (ms): 972
01.04.2018 13:24:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1121
01.04.2018 13:25:41 [INFO] Method: get_order_book , Requests count: 510 , Average request time (ms): 971
01.04.2018 13:25:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1113
01.04.2018 13:27:11 [INFO] Method: get_order_book , Requests count: 513 , Average request time (ms): 978
01.04.2018 13:27:11 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1117
01.04.2018 13:28:41 [INFO] Method: get_order_book , Requests count: 246 , Average request time (ms): 5337
01.04.2018 13:28:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 19918
01.04.2018 13:30:11 [INFO] Method: get_order_book , Requests count: 84 , Average request time (ms): 18211
01.04.2018 13:30:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 14224
01.04.2018 13:31:41 [INFO] Method: get_order_book , Requests count: 76 , Average request time (ms): 18114
01.04.2018 13:31:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 27213
01.04.2018 13:33:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 24022
01.04.2018 13:34:41 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1031
01.04.2018 13:36:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 934
01.04.2018 13:37:41 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 944
01.04.2018 13:39:11 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 13276
01.04.2018 13:40:41 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 12264
01.04.2018 13:42:12 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 11813
01.04.2018 13:43:42 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 12695
01.04.2018 13:45:12 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 11300
01.04.2018 13:45:45 [ERROR] Error method:get_order_book прокси:http://hanik:19931802@46.17.44.66:3135 request_time:911561 Error info:{"code":"ECONNRESET","name":"Error","message":"socket hang up","stack":"Error: socket hang up\n    at createHangUpError (_http_client.js:302:15)\n    at TLSSocket.socketOnEnd (_http_client.js:394:23)\n    at emitNone (events.js:91:20)\n    at TLSSocket.emit (events.js:188:7)\n    at endReadableNT (_stream_readable.js:975:12)\n    at _combinedTickCallback (internal/process/next_tick.js:80:11)\n    at process._tickCallback (internal/process/next_tick.js:104:9)"}

01.04.2018 13:46:42 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1233
01.04.2018 13:46:42 [INFO] Method: get_all_order_books , Requests count: 1 , Average request time (ms): 1440
01.04.2018 13:46:42 [INFO] Method: get_order_book , Requests count: 300 , Average request time (ms): 978
01.04.2018 13:48:12 [INFO] Method: get_order_book , Requests count: 525 , Average request time (ms): 976
01.04.2018 13:48:12 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1117
01.04.2018 13:49:42 [INFO] Method: get_order_book , Requests count: 522 , Average request time (ms): 977
01.04.2018 13:49:42 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1161
01.04.2018 13:51:12 [INFO] Method: get_order_book , Requests count: 520 , Average request time (ms): 975
01.04.2018 13:51:12 [INFO] Method: get_coin_info , Requests count: 1 , Average request time (ms): 1116
01.04.2018 13:52:42 [INFO] Method: get_order_book , Requests count: 523 , Average request time (ms): 978
01.04.2018 13:52:42 [INFO] Method: get_coin_info , Requests count: 2 , Average request time (ms): 1115
